RF[00]: 00000050
RF[01]: 00000000
RF[02]: 00000000
RF[03]: 00000000
RF[04]: 00000008
RF[05]: 00000000
RF[06]: 00000004
RF[07]: 00000101
RF[08]: FFFFFF03
RF[09]: 00000002
RF[10]: 000000FF
RF[11]: 00000101
RF[12]: 00000000
RF[13]: 00000000
RF[14]: 00000000
RF[15]: 00000000
RF[16]: 00000000
RF[17]: 00000000
RF[18]: 00000000
RF[19]: 00000000
RF[20]: 00000000
RF[21]: 00000000
RF[22]: 00000000
RF[23]: 00000000
RF[24]: 00000000
RF[25]: 00000000
RF[26]: 00000000
RF[27]: 00000100
RF[28]: 000000F8
RF[29]: 0000000F
RF[30]: 000000FF
RF[31]: 000000F0
DMEM[00]: 000000FF
DMEM[01]: 0000FFFF
DMEM[02]: 00000002
DMEM[03]: 00000003
DMEM[04]: 00000004
DMEM[05]: 00000005
DMEM[06]: 00000101
DMEM[07]: 00000007
~                                                                                                                                                                                            ~                      
